TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
141,opposé,simple,lobé_profond ou lobé_peu_profond,cordée,aigu ou arrondi,palmée,moyen,dentée,long,glabre,contrasté,mat,papyracé ou mou
182,opposé,simple,lobé_profond ou lobé_peu_profond,cordée,arrondi,palmée,moyen ou grand,entière ou dentée,long,glabre,contrasté,luisant_mat,coriace ou papyracé
74932,opposé,composé_penné ou composé_trifoliolé,ovale ou elliptique ou lobé_peu_profond,en_coin ou arrondie,aigu,pennée ou palmée,moyen,entière ou dentée,long,glabre_pubescent,identique,mat,papyracé
193,opposé,simple,lobé_peu_profond,cordée,aigu ou arrondi,palmée,moyen ou grand,dentée,long,glabre,contrasté,mat,papyracé
74934,opposé,simple,lobé_profond ou lobé_peu_profond,cordée ou tronquée,aigu,palmée,grand,dentée,long,glabre,contrasté,mat,papyracé
210,opposé,simple,lobé_profond ou lobé_peu_profond,cordée ou tronquée,aigu,palmée,moyen ou grand,dentée,long,glabre,contrasté,mat,papyracé
219,opposé,simple,lobé_profond,cordée ou tronquée,aigu,palmée,moyen ou grand,dentée,long,glabre,contrasté,mat ou luisant_mat,papyracé
1052,opposé,composé_palmé,obovale,en_coin,aigu ou arrondi,pennée,grand,dentée,long,glabre,identique,mat,papyracé
1053,opposé,composé_palmé,obovale,en_coin,aigu,pennée,grand,dentée,long,glabre,identique,mat,papyracé
2088,alterne,composé_penné,obovale,tronquée ou arrondie ou asymétrique,aigu,pennée,moyen,ondulée ou dentée,long,glabre,contrasté,mat,papyracé
2441,alterne,composé_bipenné,oblong,asymétrique,aigu,pennée,petit,entière,moyen,glabre,contrasté,mat,papyracé
3307,alterne,simple,ovale ou elliptique,arrondie ou cordée ou en_coin,aigu ou arrondi,pennée,moyen,dentée ou ondulée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé
74947,alterne,simple,ovale ou circulaire,cordée ou arrondie ou tronquée,aigu ou arrondi,pennée,moyen ou petit,dentée,moyen,glabre,identique,mat,papyracé
3318,alterne,simple,ovale ou circulaire ou obovale,arrondie ou tronquée,aigu ou arrondi ou échancré,pennée,moyen ou petit,dentée,moyen,glabre,contrasté,luisant_mat,coriace ou papyracé
74948,alterne,simple,ovale ou obovale,arrondie ou cordée ou en_coin,aigu ou arrondi,pennée,moyen ou petit,dentée,moyen,glabre,contrasté,luisant_mat ou mat,papyracé ou coriace
3306,alterne,simple,elliptique ou ovale,arrondie ou asymétrique,aigu,pennée,moyen,dentée,moyen ou court,glabre,contrasté,luisant_mat ou mat,papyracé ou coriace
4090,alterne,simple,ovale ou elliptique,arrondie ou cordée ou tronquée,aigu,pennée,moyen,dentée,moyen,glabre,contrasté,mat,papyracé
4092,alterne,simple,elliptique ou ovale,arrondie ou cordée ou tronquée,aigu ou arrondi,pennée,moyen,dentée,moyen,glabre_pubescent,contrasté,mat,papyracé
6055,alterne,simple,obovale ou elliptique,en_coin,aigu ou arrondi,pennée,moyen,dentée,court ou moyen,glabre,contrasté,mat ou luisant_mat,coriace
9456,alterne,simple,obovale ou elliptique,en_coin,arrondi ou aigu,pennée,petit ou moyen,dentée,court ou moyen,glabre,contrasté,mat,papyracé
9626,alterne,simple,deltoide ou ovale ou elliptique,arrondie ou tronquée ou en coin,aigu,pennée,moyen,dentée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé
82088,alterne,simple,deltoide ou ovale ou elliptique,arrondie ou tronquée ou en coin,aigu,pennée,moyen,dentée,moyen,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé
9580,alterne,simple,deltoide ou ovale ou elliptique,arrondie ou cordée,aigu,pennée,moyen,dentée,court ou moyen,glabre,contrasté,mat ou luisant_mat,papyracé
11280,alterne,simple,lobé_profond ou ovale,arrondie ou tronquée ou cordée,aigu,palmée,moyen ou grand,dentée,moyen,pubescent,contrasté,mat,papyracé ou rude
11336,opposé,simple,ovale ou oblong ou elliptique,en_coin,aigu,pennée,moyen,dentée,court,glabre ou glabre_pubescent,contrasté,mat,papyracé
11552,alterne,simple,elliptique ou oblong ou obovale,en_coin,arrondi ou aigu,pennée ou uninervée,moyen,entière,court,glabre,contrasté,luisant_mat,coriace ou papyracé
11691,alterne,simple,ovale ou elliptique,en_coin ou arrondie,arrondi,pennée,petit,entière,court,glabre,contrasté,luisant_mat,coriace
12719,alterne,simple,circulaire ou ovale ou elliptique,arrondie ou cordée,arrondi,pennée,moyen,entière,court ou moyen,glabre,contrasté,mat,coriace ou papyracé
14637,alterne,simple,elliptique,arrondie,aigu,pennée,moyen,dentée,court,glabre,identique,mat,papyracé ou gaufré
14752,alterne,simple,oblong,arrondie ou en_coin,aigu,pennée,grand,dentée,court,glabre,contrasté,luisant_mat,papyracé ou coriace
14781,verticillé,simple,deltoide ou triangulaire ou lobé_peu_profond,cordée ou tronquée,aigu,pennée,grand,entière ou dentée,long,glabre,identique,mat,papyracé
14954,alterne,simple,ovale,asymétrique ou arrondie ou en_coin,aigu,pennée,moyen,dentée,court,pubescent,contrasté,mat,papyracé
77016,alterne,simple,ovale,asymétrique ou arrondie ou cordée ou en_coin,aigu,pennée,moyen,dentée,court,pubescent,contrasté,mat,papyracé
16142,alterne,composé_penné,ovale ou elliptique ou obovale,en_coin ou arrondie,échancré ou arrondi,pennée,moyen,entière ou ondulée,moyen ou long,glabre,contrasté,luisant_mat ou mat,coriace
75048,alterne,simple,circulaire,cordée,arrondi,palmée,moyen,entière,moyen ou long,glabre,contrasté,mat,papyracé
18614,alterne,composé_penné,ovale ou oblong ou elliptique,arrondie ou en_coin,échancré ou arrondi,pennée,petit,entière,court ou moyen,glabre,contrasté,mat,papyracé
18956,opposé,simple,ovale ou elliptique,arrondie ou en_coin,aigu,pennée ou arquée,moyen,entière,court,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé
75064,opposé,simple,ovale ou elliptique,arrondie ou en_coin,aigu,pennée,moyen,entière,court,glabre,contrasté,mat ou luisant_mat,papyracé
19097,alterne,simple,elliptique ou obovale,cordée,aigu,pennée,moyen,dentée,court,pubescent,contrasté ou identique,mat,papyracé
75722,alterne,simple,ovale ou elliptique ou obovale,cordée,aigu,pennée,moyen ou grand,dentée,moyen,pubescent,contrasté ou identique,mat,papyracé
19137,alterne,simple,circulaire ou elliptique ou ovale ou obovale,arrondie,arrondi,pennée,moyen,entière,moyen ou long,glabre,contrasté,mat,papyracé
19369,alterne,simple,lobé_profond,en_coin ou tronquée,aigu ou arrondi,pennée,petit ou moyen,dentée,moyen,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé ou coriace
19422,alterne,simple,elliptique ou oblong ou ovale,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,entière ou dentée,court,pubescent,contrasté,mat,papyracé ou mou
19443,alterne,simple,lobé_peu-profond ou lobé_profond,en_coin,arrondi,pennée,petit,dentée,moyen ou petit,glabre,contrasté,mat ou luisant_mat,papyracé
19472,alterne,simple,lobé_profond ou lobé_peu_profond,en_coin ou tronquée,aigu ou arrondi,pennée,petit,dentée,moyen,glabre,contrasté,mat,papyracé
20470,alterne,simple,ovale ou elliptique,arrondie ou en_coin,aigu,pennée,moyen ou grand,entière ou dentée,moyen,glabre_pubescent,contrasté,mat,papyracé
21055,alterne,simple ou composé_trifoliolé,obovale,en_coin,aigu,uninervée ou pennée,petit,entière,court ou moyen,marge ou glabre_pubescent,identique,mat,papyracé
21572,alterne,simple,elliptique ou oblong ou obovale,en_coin,aigu ou arrondi,pennée,moyen,entière,absent ou court,glabre,identique,luisant_mat,coriace ou papyracé
21581,alterne,simple,obovale ou elliptique,en_coin,aigu,uninervée,petit ou moyen,entière,absent ou court,glabre,identique,mat,coriace ou papyracé
